Student_ID,Gender,Age,Branch,CGPA,10th_Percentage,12th_Percentage,No_of_Internships,No_of_Projects,Placed
1247,Male,22,CSE,5.88,69.45,66.16,1,8,Yes
1248,Female,20,EE,7.47,92.05,95.72,1,4,Yes
1249,Male,21,CSE,7.9,91.42,93.03,4,8,Yes
1250,Female,21,CSE,8.54,92.54,98.52,0,1,Yes
1251,Female,24,EE,5.0,58.79,64.1,0,1,No
1252,Female,20,IT,7.83,77.63,77.83,2,4,Yes
1253,Female,25,EE,5.98,74.54,82.08,1,6,Yes
1254,Female,24,IT,6.94,87.9,78.43,4,3,Yes
1255,Female,23,CSE,7.59,78.71,75.55,1,2,Yes
1256,Male,23,EE,7.0,81.06,84.37,0,0,No
1257,Male,22,CSE,5.0,54.28,52.04,1,1,No
1258,Female,24,ECE,5.29,65.9,62.83,1,1,No
1259,Female,21,ECE,5.0,58.31,55.16,1,3,No
1260,Male,23,IT,8.86,88.35,84.85,2,3,Yes
1261,Male,21,IT,8.79,96.49,92.47,2,3,Yes
1262,Female,25,CE,5.98,56.67,52.44,0,3,No
1263,Female,22,ME,8.3,81.01,88.43,1,2,Yes
1264,Male,24,CSE,9.24,98.87,92.11,0,5,Yes
1265,Male,22,ME,5.75,53.39,58.65,2,1,No
1266,Male,21,EE,8.77,88.66,79.99,1,3,Yes
1267,Female,25,IT,5.48,51.8,59.23,2,4,Yes
1268,Male,21,EE,5.05,67.4,69.05,4,4,Yes
1269,Female,23,CSE,5.26,54.83,48.83,1,5,No
1270,Male,23,ME,6.68,78.84,77.85,0,1,No
1271,Female,20,ME,7.18,85.78,82.05,2,4,Yes
1272,Male,25,EE,6.44,65.63,61.03,0,6,Yes
1273,Female,21,CE,7.86,86.28,85.57,1,3,Yes
1274,Female,25,CSE,6.09,81.38,79.16,2,2,Yes
1275,Male,25,CSE,6.56,63.64,66.31,1,5,Yes
1276,Male,21,ECE,5.97,62.86,68.39,2,4,Yes
1277,Female,22,IT,6.63,72.44,65.55,2,6,Yes
1278,Female,22,CSE,6.01,64.96,58.25,1,3,No
1279,Male,21,ECE,8.2,76.33,82.87,0,2,Yes
1280,Male,23,EE,8.6,92.41,99.54,0,3,Yes
1281,Female,23,EE,6.54,70.37,75.49,0,0,No
1282,Male,22,CSE,6.11,64.14,68.19,2,3,Yes
1283,Female,22,ME,8.75,90.34,86.94,0,5,Yes
1284,Female,20,ME,8.03,82.03,76.49,0,2,Yes
1285,Male,20,ME,5.96,61.61,66.2,1,5,Yes
1286,Male,21,ME,8.46,89.86,94.36,1,4,Yes
1287,Female,22,IT,7.09,63.1,68.54,2,1,Yes
1288,Female,20,CE,8.86,92.49,84.77,0,5,Yes
1289,Female,25,IT,5.5,56.97,58.35,1,1,No
1290,Female,23,ECE,5.72,63.63,70.48,4,3,Yes
1291,Female,25,CSE,9.33,97.64,99.07,3,5,Yes
1292,Female,21,ECE,5.82,65.82,60.92,0,6,Yes
1293,Female,20,CSE,6.33,80.68,85.74,3,2,Yes
1294,Female,23,CSE,7.55,83.74,76.11,0,7,Yes
1295,Female,22,CSE,6.43,82.56,84.24,2,5,Yes
1296,Male,20,EE,5.0,50.05,48.63,0,4,No
1297,Female,20,CE,5.0,70.69,63.07,1,5,No
1298,Male,22,CSE,7.19,87.9,91.46,4,1,Yes
1299,Male,25,CSE,6.37,67.21,61.04,3,4,Yes
1300,Male,20,CSE,5.0,56.03,59.17,1,5,No
1301,Female,21,ECE,7.86,79.4,80.34,2,6,Yes
1302,Male,24,ECE,5.55,59.24,56.29,2,5,No
1303,Male,21,ECE,8.24,79.1,78.61,4,7,Yes
1304,Female,24,IT,6.53,76.77,69.88,4,1,Yes
1305,Male,21,CSE,5.0,52.96,57.17,2,4,No
1306,Female,20,EE,5.55,76.35,69.1,0,7,Yes
1307,Male,22,IT,7.96,81.08,86.1,0,5,Yes
1308,Female,20,CSE,8.49,95.31,87.4,0,4,Yes
1309,Male,20,EE,8.36,84.37,77.32,1,5,Yes
1310,Male,21,ME,7.58,92.8,95.99,3,3,Yes
1311,Male,22,EE,6.55,78.26,69.65,1,3,Yes
1312,Male,22,ME,7.62,93.82,95.95,2,0,Yes
1313,Male,20,ECE,6.9,68.77,61.47,3,4,Yes
1314,Female,23,CSE,5.45,62.16,68.65,2,4,No
1315,Female,20,CSE,9.48,89.41,97.08,0,3,Yes
1316,Female,22,CSE,5.86,72.38,69.02,2,5,Yes
1317,Male,23,CE,8.18,88.02,91.2,2,2,Yes
1318,Male,24,IT,9.55,91.14,96.93,0,4,Yes
1319,Female,20,CSE,9.83,98.17,95.73,4,1,Yes
1320,Male,21,CE,6.6,75.47,78.09,4,1,Yes
1321,Male,23,CSE,8.02,77.82,75.65,0,2,Yes
1322,Female,25,ME,5.22,65.99,64.14,3,1,Yes
1323,Male,20,CSE,6.52,72.84,70.16,4,2,Yes
1324,Male,20,CSE,8.35,89.57,85.05,2,2,Yes
1325,Male,25,CSE,6.46,67.43,66.67,1,8,Yes
1326,Male,23,ECE,5.6,76.96,68.67,2,1,No
1327,Female,21,CSE,8.3,90.36,87.06,2,4,Yes
1328,Female,20,CE,6.19,59.69,61.32,0,6,Yes
1329,Male,23,CSE,9.01,95.28,93.08,1,3,Yes
1330,Male,21,CSE,6.41,71.85,64.53,2,4,Yes
1331,Female,23,CSE,5.0,63.71,56.18,3,4,Yes
1332,Female,20,CE,7.9,88.31,84.77,1,6,Yes
1333,Male,21,CSE,7.45,79.26,69.79,1,5,Yes
1334,Male,24,CE,8.8,97.73,89.53,1,5,Yes
1335,Male,21,ECE,9.74,98.15,95.14,4,2,Yes
1336,Male,25,EE,8.59,94.79,85.3,3,4,Yes
1337,Male,23,ECE,5.0,58.6,49.28,2,0,No
1338,Male,24,CSE,6.21,56.39,59.29,2,3,No
1339,Female,21,ME,9.59,91.48,96.97,1,7,Yes
1340,Male,22,IT,8.75,97.82,100,2,3,Yes
1341,Female,24,EE,8.12,95.51,99.68,1,2,Yes
1342,Female,21,CSE,5.0,50.09,52.73,3,5,Yes
1343,Male,22,CE,8.65,97.41,91.39,3,1,Yes
1344,Male,22,CSE,8.53,93.38,84.98,2,6,Yes
1345,Male,21,EE,6.76,67.17,71.34,0,3,No
1346,Male,23,ECE,5.21,68.56,68.39,1,6,Yes
1347,Female,21,ECE,6.45,89.16,79.76,1,1,Yes
1348,Female,21,ME,6.21,76.81,82.98,1,4,Yes
1349,Male,25,CSE,7.14,93.6,86.43,0,2,Yes
1350,Female,25,ECE,6.23,82.37,77.72,1,4,Yes
1351,Male,20,IT,6.13,64.43,66.35,0,0,No
1352,Male,20,ECE,5.13,55.66,59.79,3,2,No
1353,Male,22,CE,5.47,68.1,66.12,1,2,No
1354,Male,25,EE,5.0,54.2,50.39,4,4,Yes
1355,Female,24,IT,7.05,76.24,81.84,3,3,Yes
1356,Female,25,CSE,7.16,77.99,77.29,4,1,Yes
1357,Male,21,CE,7.53,89.61,81.88,4,3,Yes
1358,Female,24,CSE,7.72,94.63,100,1,3,Yes
1359,Male,23,CE,5.0,50.61,53.22,2,1,No
1360,Female,24,ME,8.97,96.04,100,0,2,Yes
1361,Male,23,CSE,7.34,82.08,82.38,0,3,Yes
1362,Female,23,CSE,7.61,93.59,89.56,2,7,Yes
1363,Male,22,IT,8.91,91.3,96.75,4,2,Yes
1364,Female,22,CSE,5.66,70.42,72.04,0,6,Yes
1365,Female,22,ME,6.0,75.25,68.11,1,1,Yes
1366,Female,20,CSE,7.01,92.88,86.49,0,1,Yes
1367,Male,22,ME,5.89,74.75,76.19,0,3,No
1368,Male,23,ECE,6.67,67.14,60.08,2,5,Yes
1369,Male,21,ME,6.99,88.21,82.07,0,2,Yes
1370,Male,25,CSE,8.84,94.66,96.31,0,2,Yes
1371,Male,25,EE,5.86,70.77,67.55,1,3,No
1372,Female,23,ECE,6.01,50.36,58.35,2,4,Yes
1373,Male,25,CSE,5.47,53.13,60.92,3,2,Yes
1374,Female,22,CSE,5.46,75.35,69.68,3,5,Yes
1375,Male,21,EE,7.17,82.11,90.06,1,3,Yes
1376,Female,24,ME,6.59,66.82,69.66,2,3,Yes
1377,Male,22,ME,7.7,91.19,96.97,0,1,Yes
1378,Female,21,CE,7.88,94.08,95.86,0,6,Yes
1379,Female,22,CSE,5.97,64.41,69.73,3,4,Yes
1380,Male,21,ECE,7.7,92.51,89.38,0,6,Yes
1381,Male,23,CE,7.86,93.75,100,3,2,Yes
1382,Male,21,IT,5.0,52.84,50.98,2,4,No
1383,Female,20,CSE,6.14,71.25,68.98,1,0,No
1384,Female,20,CE,6.66,87.09,86.65,0,5,Yes
1385,Female,22,CSE,5.42,68.79,69.39,2,2,No
1386,Female,24,ECE,5.64,71.25,73.61,4,3,Yes
1387,Male,23,CSE,5.14,60.99,68.72,0,4,No
1388,Female,20,IT,7.79,81.38,85.26,1,0,Yes
1389,Female,20,EE,6.31,70.42,67.26,1,2,Yes
1390,Female,22,IT,5.21,54.95,54.32,2,3,Yes
1391,Male,24,CSE,5.0,55.59,47.5,0,2,No
1392,Male,25,IT,6.19,57.86,57.73,2,3,No
1393,Male,20,CE,7.43,90.93,92.97,0,4,Yes
1394,Male,22,EE,6.29,72.38,79.97,0,5,Yes
1395,Female,22,ME,5.05,65.32,68.61,2,0,No
1396,Female,21,IT,8.17,93.83,100,2,3,Yes
1397,Male,23,CE,6.4,63.32,60.26,2,4,Yes
1398,Male,25,EE,7.96,98.1,100,3,3,Yes
1399,Male,24,IT,6.1,67.57,58.09,2,8,Yes
1400,Female,20,CE,6.42,71.59,62.73,0,6,Yes
1401,Female,25,ECE,8.52,97.92,99.98,1,5,Yes
1402,Female,21,ECE,6.65,82.52,84.07,2,6,Yes
1403,Male,21,ECE,5.72,73.0,71.93,2,3,Yes
1404,Male,24,CSE,6.58,81.52,78.78,1,5,Yes
1405,Female,23,IT,7.75,98.05,100,1,0,Yes
1406,Female,24,CE,7.73,81.24,87.26,2,3,Yes
1407,Female,21,ME,6.38,66.27,70.08,2,3,Yes
1408,Male,25,CSE,7.34,66.73,71.67,1,4,Yes
1409,Male,21,ECE,8.06,90.27,93.64,1,2,Yes
1410,Female,21,ECE,7.14,88.29,91.19,1,7,Yes
1411,Female,23,ECE,8.17,78.88,77.96,0,5,Yes
1412,Male,24,ECE,6.26,74.91,81.49,1,5,Yes
1413,Male,24,ECE,5.99,65.77,71.64,2,5,Yes
1414,Male,22,CE,5.95,72.19,64.59,2,5,Yes
1415,Female,22,EE,7.97,95.84,97.23,2,2,Yes
1416,Female,25,EE,9.15,96.96,96.03,1,1,Yes
1417,Male,24,CE,8.67,84.8,86.94,1,6,Yes
1418,Male,20,CSE,5.0,57.12,59.18,2,2,No
1419,Male,20,EE,5.0,64.46,68.02,2,1,No
1420,Female,21,ME,7.4,77.5,71.78,2,2,Yes
1421,Female,23,IT,9.2,88.62,90.95,0,5,Yes
1422,Female,23,ME,8.99,94.66,97.34,2,4,Yes
1423,Female,21,IT,5.0,58.69,60.98,0,4,No
1424,Male,24,CSE,5.0,57.89,63.12,1,7,No
1425,Female,24,CSE,9.05,95.69,96.77,1,4,Yes
1426,Female,22,ECE,9.38,96.89,96.26,0,4,Yes
1427,Male,21,EE,6.83,66.22,61.5,2,3,Yes
1428,Female,25,CSE,8.33,82.78,80.8,2,4,Yes
1429,Female,22,IT,7.07,89.01,81.05,2,0,Yes
1430,Female,24,ME,7.01,71.83,62.62,0,4,Yes
1431,Male,24,ECE,7.3,80.72,74.51,0,5,Yes
1432,Male,25,ME,8.43,86.33,84.16,0,5,Yes
1433,Female,20,CSE,5.07,52.66,56.96,1,2,No
1434,Male,25,IT,5.0,65.5,62.51,0,5,No
1435,Female,20,EE,5.0,53.56,60.26,2,3,No
1436,Female,23,IT,6.88,90.28,80.83,0,5,Yes
1437,Female,22,CE,6.23,57.06,59.25,2,5,Yes
1438,Female,24,ME,5.0,56.93,47.68,1,4,No
1439,Male,25,CE,6.25,66.85,64.28,1,2,No
1440,Female,21,CSE,6.4,82.88,83.09,2,8,Yes
1441,Female,20,IT,5.0,53.3,45.07,1,3,No
1442,Female,20,IT,5.0,53.42,46.9,1,4,No
1443,Male,24,IT,5.0,65.5,63.21,0,2,No
1444,Male,22,CSE,7.9,85.92,91.72,1,3,Yes
1445,Male,24,CSE,6.9,63.75,68.63,0,5,Yes
1446,Female,20,ME,7.68,80.95,85.58,2,2,Yes
1447,Male,24,ECE,7.1,87.98,84.56,2,5,Yes
1448,Male,24,CSE,5.04,67.83,58.02,4,8,Yes
1449,Female,21,ECE,5.99,58.78,65.86,4,5,Yes
